Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, eco9, 1, 160.75, 14.59, 0, 309, 0, 
1980, eco9, 1, 150.69, 14.86, 0, 317, 0, 
1981, eco9, 1, 220.82, 15.35, 0, 365, 0, 
1982, eco9, 1, 193.63, 13.57, 0, 304, 0, 
1983, eco9, 1, 331.27, 14.01, 0, 312, 0, 
1984, eco9, 1, 117.4, 14.6, 21, 290, 0, 
1985, eco9, 1, 82.47, 14.68, 0, 298, 0, 
1986, eco9, 1, 168.03, 15.36, 0, 333, 0, 
1987, eco9, 1, 145.27, 15.36, 0, 310, 0, 
1988, eco9, 1, 129.91, 15.31, 0, 308, 0, 
1989, eco9, 1, 99.82, 14.42, 54, 336, 0, 
1990, eco9, 1, 87.38, 14.78, 50, 302, 0, 
1991, eco9, 1, 102.74, 15.46, 0, 319, 0, 
1992, eco9, 1, 167.54, 15.36, 19, 308, 0, 
1993, eco9, 1, 175.63, 13.99, 0, 296, 0, 
1994, eco9, 1, 94.18, 14.74, 27, 291, 0, 
1995, eco9, 1, 285.92, 14.97, 0, 365, 0, 
1996, eco9, 1, 225.59, 15.41, 0, 365, 0, 
1997, eco9, 1, 141.82, 15.17, 0, 330, 0, 
1998, eco9, 1, 291.55, 14.07, 18, 321, 0, 
1999, eco9, 1, 125.04, 14.74, 0, 333, 0, 
2000, eco9, 1, 175.24, 14.99, 0, 304, 0, 
2001, eco9, 1, 193.03, 15.5, 0, 346, 0, 
2002, eco9, 1, 160.18, 15.51, 0, 320, 0, 
2003, eco9, 1, 152.68, 15.28, 0, 302, 0, 
2004, eco9, 1, 169.45, 15.25, 0, 311, 0, 
2005, eco9, 1, 207.42, 14.8, 0, 365, 0, 
2006, eco9, 1, 179.98, 14.86, 0, 341, 0, 
2007, eco9, 1, 98.36, 15.58, 0, 329, 0, 
2008, eco9, 1, 116.54, 15.71, 0, 324, 0, 
2009, eco9, 1, 154.29, 15.53, 0, 335, 0, 
2010, eco9, 1, 231.66, 14.4, 0, 308, 0, 
2011, eco9, 1, 146.42, 13.88, 51, 308, 0, 
2012, eco9, 1, 194.22, 15.43, 0, 325, 0, 
2013, eco9, 1, 43.01, 15.39, 46, 321, 0, 
2014, eco9, 1, 168.44, 16.9, 0, 365, 0, 
2015, eco9, 1, 90.96, 16.88, 0, 301, 0, 
2016, eco9, 1, 207.62, 15.67, 17, 321, 0, 
2017, eco9, 1, 185.43, 15.95, 0, 320, 0, 
2018, eco9, 1, 102.48, 16.25, 0, 339, 0, 
2019, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2020, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2021, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2022, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2023, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2024, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2025, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2026, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2027, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2028, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2029, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2030, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2031, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2032, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2033, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2034, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2035, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2036, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2037, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2038, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2039, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2040, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2041, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2042, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2043, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2044, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2045, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2046, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2047, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2048, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2049, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2050, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2051, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2052, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2053, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2054, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2055, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2056, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2057, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2058, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2059, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2060, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2061, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2062, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2063, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2064, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2065, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2066, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2067, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2068, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2069, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2070, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2071, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2072, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2073, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2074, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2075, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2076, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2077, eco9, 1, 212.69, 15.1, 52, 339, 0, 
2078, eco9, 1, 212.69, 15.1, 52, 339, 0, 
1979, eco10, 2, 150.11, 15.53, 0, 303, 0, 
1980, eco10, 2, 133.56, 15.76, 0, 313, 0, 
1981, eco10, 2, 199.45, 16.24, 0, 350, 0, 
1982, eco10, 2, 170.88, 14.48, 46, 297, 0, 
1983, eco10, 2, 297.26, 15.08, 0, 305, 0, 
1984, eco10, 2, 104.76, 15.65, 39, 286, 0, 
1985, eco10, 2, 77.42, 15.49, 0, 293, 0, 
1986, eco10, 2, 152.33, 16.13, 16, 316, 0, 
1987, eco10, 2, 128.64, 16.23, 40, 305, 0, 
1988, eco10, 2, 115.28, 16.24, 31, 301, 0, 
1989, eco10, 2, 92.09, 15.41, 59, 318, 0, 
1990, eco10, 2, 79.74, 15.67, 56, 297, 0, 
1991, eco10, 2, 94.3, 16.1, 15, 309, 0, 
1992, eco10, 2, 149.9, 16.24, 27, 302, 0, 
1993, eco10, 2, 158.84, 14.98, 48, 293, 0, 
1994, eco10, 2, 87.56, 15.53, 46, 291, 0, 
1995, eco10, 2, 251.65, 15.89, 0, 340, 0, 
1996, eco10, 2, 199.13, 16.32, 0, 351, 0, 
1997, eco10, 2, 127.81, 16.09, 0, 325, 0, 
1998, eco10, 2, 262.82, 14.91, 31, 321, 0, 
1999, eco10, 2, 111.33, 15.71, 55, 332, 0, 
2000, eco10, 2, 157.83, 15.91, 0, 300, 0, 
2001, eco10, 2, 171.95, 16.53, 45, 316, 0, 
2002, eco10, 2, 141.88, 16.4, 0, 315, 0, 
2003, eco10, 2, 140.29, 16.23, 0, 298, 0, 
2004, eco10, 2, 150.67, 16.26, 0, 303, 0, 
2005, eco10, 2, 181.68, 15.84, 0, 365, 0, 
2006, eco10, 2, 161.4, 15.97, 0, 317, 0, 
2007, eco10, 2, 88.38, 16.66, 0, 324, 0, 
2008, eco10, 2, 102.7, 16.66, 0, 322, 0, 
2009, eco10, 2, 131.87, 16.49, 0, 330, 0, 
