Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2020, eco9, 1, 108.09, 17.1, 0, 365, 0, 
2021, eco9, 1, 220.02, 15.58, 0, 317, 0, 
2022, eco9, 1, 135.54, 14.51, 26, 305, 0, 
2023, eco9, 1, 160.72, 15.53, 0, 303, 0, 
2024, eco9, 1, 179.96, 15.15, 18, 321, 0, 
2025, eco9, 1, 104.48, 16.88, 0, 309, 0, 
2026, eco9, 1, 221.28, 16.31, 0, 365, 0, 
2027, eco9, 1, 87.79, 16.19, 54, 317, 0, 
2028, eco9, 1, 184.11, 16.37, 0, 343, 0, 
2029, eco9, 1, 280.05, 16.13, 0, 341, 0, 
2030, eco9, 1, 126.92, 16.7, 0, 347, 0, 
2031, eco9, 1, 159.96, 16.13, 0, 365, 0, 
2032, eco9, 1, 178.42, 15.98, 0, 365, 0, 
2033, eco9, 1, 225.41, 15.57, 0, 323, 0, 
2034, eco9, 1, 223.34, 15.77, 0, 317, 0, 
2035, eco9, 1, 122.87, 16.23, 19, 321, 0, 
2036, eco9, 1, 191.95, 17.08, 0, 328, 0, 
2037, eco9, 1, 174.18, 16.18, 0, 307, 0, 
2038, eco9, 1, 143.26, 17.75, 0, 341, 0, 
2039, eco9, 1, 154.6, 16.76, 45, 317, 0, 
2040, eco9, 1, 148.09, 17.17, 0, 319, 0, 
2041, eco9, 1, 162.98, 15.93, 0, 308, 0, 
2042, eco9, 1, 212.71, 16.59, 0, 365, 0, 
2043, eco9, 1, 160.31, 16.87, 0, 365, 0, 
2044, eco9, 1, 132.59, 17.68, 0, 289, 0, 
2045, eco9, 1, 182.53, 16.58, 0, 347, 0, 
2046, eco9, 1, 177.42, 17.44, 0, 311, 0, 
2047, eco9, 1, 174.54, 16.46, 0, 308, 0, 
2048, eco9, 1, 183.59, 16.32, 0, 330, 0, 
2049, eco9, 1, 110.42, 16.87, 0, 311, 0, 
2050, eco9, 1, 135.25, 17.67, 0, 314, 0, 
2051, eco9, 1, 130.74, 16.92, 0, 333, 0, 
2052, eco9, 1, 142.61, 16.95, 0, 308, 0, 
2053, eco9, 1, 173.72, 18.32, 0, 365, 0, 
2054, eco9, 1, 207.75, 16.69, 0, 307, 0, 
2055, eco9, 1, 158.12, 17.93, 0, 312, 0, 
2056, eco9, 1, 135.2, 16.48, 0, 320, 0, 
2057, eco9, 1, 173.58, 17.75, 0, 365, 0, 
2058, eco9, 1, 137.64, 16.77, 0, 309, 0, 
2059, eco9, 1, 296.5, 17.44, 0, 365, 0, 
2060, eco9, 1, 267.8, 16.44, 0, 331, 0, 
2061, eco9, 1, 114.99, 17.35, 0, 365, 0, 
2062, eco9, 1, 128.36, 18.26, 0, 317, 0, 
2063, eco9, 1, 134.77, 17.24, 0, 317, 0, 
2064, eco9, 1, 172.84, 17.49, 0, 365, 0, 
2065, eco9, 1, 192.58, 18.02, 0, 310, 0, 
2066, eco9, 1, 249.38, 17.53, 0, 309, 0, 
2067, eco9, 1, 159.32, 16.75, 0, 309, 0, 
2068, eco9, 1, 217.23, 17.57, 0, 365, 0, 
2069, eco9, 1, 64.14, 18.32, 0, 365, 0, 
2070, eco9, 1, 195.02, 18.06, 0, 316, 0, 
2071, eco9, 1, 221.24, 17.69, 0, 350, 0, 
2072, eco9, 1, 200.86, 18.31, 0, 330, 0, 
2073, eco9, 1, 209.62, 17.4, 0, 365, 0, 
2074, eco9, 1, 155.59, 17.78, 0, 365, 0, 
2075, eco9, 1, 169.08, 18.27, 0, 289, 0, 
2076, eco9, 1, 285, 18.07, 0, 348, 0, 
2077, eco9, 1, 173.94, 18.17, 0, 365, 0, 
2078, eco9, 1, 146.52, 18.59, 0, 365, 0, 
2079, eco9, 1, 220.88, 18.36, 0, 365, 0, 
2080, eco9, 1, 175.72, 17.38, 52, 336, 0, 
2081, eco9, 1, 138.02, 18.84, 0, 365, 0, 
2082, eco9, 1, 201.07, 18.95, 0, 316, 0, 
2083, eco9, 1, 236.35, 18.97, 0, 365, 0, 
2084, eco9, 1, 132.72, 18.22, 0, 365, 0, 
2085, eco9, 1, 180.23, 17.01, 0, 365, 0, 
2086, eco9, 1, 129.66, 18.46, 0, 332, 0, 
2087, eco9, 1, 122.46, 20.05, 0, 315, 0, 
2088, eco9, 1, 210.05, 18.96, 0, 319, 0, 
2089, eco9, 1, 142.51, 18.97, 0, 365, 0, 
2090, eco9, 1, 194.28, 18.19, 0, 314, 0, 
2091, eco9, 1, 180.87, 18.66, 0, 365, 0, 
2092, eco9, 1, 183.51, 17.95, 0, 365, 0, 
2093, eco9, 1, 109.53, 18.78, 0, 365, 0, 
2094, eco9, 1, 180.75, 19.66, 0, 347, 0, 
2095, eco9, 1, 126.33, 18.73, 0, 347, 0, 
2096, eco9, 1, 181.85, 19.89, 0, 365, 0, 
2097, eco9, 1, 203.42, 19.31, 0, 365, 0, 
2098, eco9, 1, 216.53, 18.3, 0, 365, 0, 
2099, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2100, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2101, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2102, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2103, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2104, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2105, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2106, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2107, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2108, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2109, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2110, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2111, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2112, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2113, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2114, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2115, eco9, 1, 134.63, 20.07, 0, 365, 0, 
2116, eco9, 1, 134.63, 20.07, 0, 365, 0, 
