EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 639, 436, 19.7590765348296, 67, 10700, Lightning, 1, 1, 29, 29, 16.4511334908, 21.2060930225216, 58.4274688, NaN, 19.76, NaN, 0, 0, 0.214384317398071, 0, 0, 1150, 45800, 
2, 1, 696, 430, 15.5276709683768, 68, 7946, Accidental, 1, 1, 26, 26, 13.5890938008, 14.9673663579592, 203.68160645, NaN, 15.53, NaN, 0, 0, 0.214384317398071, 0, 0, 1618, 29092, 
3, 1, 223, 769, 20.8562612423953, 102, 9876, Lightning, 1, 1, 23, 23, 12.0788318664, 16.8372746315564, 44.1664854, NaN, 20.86, NaN, 0, 0, 0.214384317398071, 0, 10, 1429, 47108, 
4, 1, 537, 936, 35.8311214445376, 108, 13283, Lightning, 1, 1, 11, 11, 17.5538346948, 14.2472006414466, 337.5426256, NaN, 35.83, NaN, 0, 0, 0.214384317398071, 0, 20, 1662, 12048, 
5, 1, 1082, 665, 23.1185295019835, 119, 9783, Accidental, 1, 1, 27, 27, 14.508065772, 14.0844429816195, 331.5061558, NaN, 23.12, NaN, 0, 0, 0.214384317398071, 0, 18, 1684, 26228, 
6, 1, 242, 614, 42.4196843816771, 156, 15885, Lightning, 3, 15146, 291098, 331978, 18.793489646126, 30.3109315213128, 48.3781180422149, 0.0142621327170683, 40.46, 0.74347402637134, 0, 0, 0.233717734786851, 0, 9.24217615211937, 893.42, 333071102, 
7, 1, 425, 856, 27.9955283724968, 168, 8850, Lightning, 1, 1, 21, 21, 9.1016855712, 5.28946884183738, 277.8241349, NaN, 28, NaN, 0, 0, 0.25, 0, 10, 2000, 20924, 
8, 1, 1137, 612, 28.0957910389764, 170, 10174, Accidental, 1, 1, 0, 0, 9.662026806, 10.3366318285165, 324.7415941, NaN, 28.1, NaN, 0, 0, 0.214384317398071, 0, 0, 2000, 0, 
9, 1, 744, 795, 29.7770865743001, 176, 10093, Lightning, 1, 1, 11, 11, 9.44654931, 8.24215031322109, 43.799507, NaN, 29.78, NaN, 0, 0, 0.214384317398071, 0, 20, 2000, 1844, 
10, 1, 286, 891, 26.2590213147558, 183, 9108, Lightning, 1, 1, 25, 25, 9.3150393048, 8.13220450879268, 305.7180923, NaN, 26.26, NaN, 0, 0, 0.259999990463257, 0, 10, 2000, 33882, 
11, 1, 636, 674, 34.0902629061991, 189, 11994, Lightning, 1, 1, 11, 11, 12.9185023644, 11.0751185983577, 22.1199024, NaN, 34.09, NaN, 0, 0, 0.214384317398071, 0, 10, 2000, 10934, 
12, 1, 755, 320, 37.1170537784697, 198, 12299, Lightning, 1, 518, 10887, 11802, 11.7452296052757, 28.5190623984312, 322.828757956566, 0, 36.86, 0.704774562521722, 0, 0, 0.243455608091299, 0, 4.32432432432432, 941.41, 16439166, 
13, 1, 321, 560, 29.3649453322577, 218, 9138, Lightning, 1, 1, 34, 34, 7.861748868, 4.96024926511141, 9.18271390000001, NaN, 29.36, NaN, 0, 0, 0.280000001192093, 0, 10, 2000, 46686, 
14, 1, 800, 103, 33.3261202516813, 223, 14081, Accidental, 1, 1, 21, 28, 21.306505338, 20.0026190319271, 356.5135753, NaN, 33.33, NaN, 0, 0, 0.379999995231628, 0, 10, 1148, 32390, 
15, 1, 1009, 396, 42.039565666399, 228, 14019, Lightning, 1, 1, 23, 23, 12.9155392188, 10.5386942372822, 320.9151574, NaN, 42.04, NaN, 0, 0, 0.214384317398071, 0, 0, 2000, 25010, 
16, 1, 349, 1007, 37.8618454990951, 229, 13251, Lightning, 1, 1, 7, 7, 11.5508881476, 11.973657167244, 335.4982272, NaN, 37.86, NaN, 0, 0, 0.214384317398071, 0, 20, 1961, 688, 
17, 1, 773, 271, 34.6366001435997, 234, 13505, Accidental, 1, 1, 22, 22, 12.6595233036, 16.3762351999523, 298.2589781, NaN, 34.64, NaN, 0, 0, 0.214384317398071, 0, 0, 1482, 23600, 
18, 1, 400, 837, 36.9724425496033, 245, 13979, Lightning, 1, 1, 7, 7, 15.9040277316, 15.7477133673806, 335.7486385, NaN, 36.97, NaN, 0, 0, 0.200000002980232, 0, 20, 1519, 688, 
19, 1, 865, 678, 36.2837251168457, 246, 14272, Accidental, 1, 1, 22, 22, 15.8145931044, 17.6148222392755, 12.6850284, NaN, 36.28, NaN, 0, 0, 0.0500000007450581, 0, 0, 1468, 14986, 
20, 1, 155, 335, 28.1770167363968, 248, 11298, Lightning, 1, 1, 3, 3, 10.570313232, 14.6235392833183, 342.8724638, NaN, 28.18, NaN, 0, 0, 0.214384317398071, 0, 20, 1621, 30, 
