SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 67, 1, 1, 15.0113513103415, Lightning, 
1, 68, 1, 1, 11.8212740974766, Accidental, 
1, 102, 1, 1, 18.1076555346037, Lightning, 
1, 108, 1, 1, 33.4054254658743, Lightning, 
1, 119, 1, 1, 20.6554766616679, Accidental, 
1, 156, 1, 1, 36.3661898180796, Lightning, 
1, 168, 1, 1, 24.9799145750094, Lightning, 
1, 170, 1, 1, 26.45851849319, Accidental, 
1, 176, 1, 1, 31.7531473063276, Lightning, 
1, 183, 1, 1, 25.8911151742713, Lightning, 
1, 189, 1, 1, 37.3055211490357, Lightning, 
1, 198, 1, 1, 32.0705075365676, Lightning, 
1, 218, 1, 1, 27.5014137941939, Lightning, 
1, 223, 1, 1, 36.5058166743234, Accidental, 
1, 228, 1, 1, 34.8358726396135, Lightning, 
1, 229, 1, 1, 37.3753524813311, Lightning, 
1, 234, 1, 1, 34.1402856492606, Accidental, 
1, 245, 1, 1, 40.4712618145351, Lightning, 
1, 246, 1, 1, 40.3697176442293, Accidental, 
1, 248, 1, 1, 32.5540628213659, Lightning, 
1, 251, 1, 1, 37.5377568635656, Lightning, 
1, 259, 1, 1, 53.954473489261, Lightning, 
1, 265, 1, 1, 29.9921835016566, Lightning, 
1, 279, 1, 1, 23.4192940675872, Lightning, 
1, 315, 1, 1, 22.6524893383349, Accidental, 
1, 328, 1, 1, 11.492070915737, Lightning, 
1, 348, 1, 1, 4.91023668030675, Lightning, 
2, 91, 1, 1, 2.36232686713566, Accidental, 
2, 94, 1, 1, 4.01135136202651, Lightning, 
2, 119, 1, 1, 7.32070983542467, Lightning, 
2, 123, 1, 1, 11.6199036086452, Lightning, 
2, 126, 1, 1, 12.3858200514834, Lightning, 
2, 127, 1, 1, 11.1996713024168, Lightning, 
2, 137, 1, 1, 13.9951261997603, Lightning, 
2, 139, 1, 1, 13.2693801238566, Lightning, 
2, 147, 1, 1, 19.8130587982319, Lightning, 
2, 156, 1, 1, 54.346723068234, Lightning, 
2, 159, 1, 1, 46.2528173660533, Lightning, 
2, 176, 1, 1, 36.1147222287906, Lightning, 
2, 190, 1, 1, 47.8101019929838, Lightning, 
2, 191, 1, 1, 45.7643782530355, Accidental, 
2, 193, 1, 1, 29.9904982530414, Lightning, 
2, 202, 1, 1, 36.957985079585, Accidental, 
2, 205, 1, 1, 34.0289962651545, Lightning, 
2, 207, 1, 1, 36.0635653409244, Accidental, 
2, 211, 1, 1, 35.9489641811549, Lightning, 
2, 220, 1, 1, 24.8785823310336, Lightning, 
2, 228, 1, 1, 30.7134576885485, Lightning, 
2, 240, 1, 1, 33.8158802651314, Lightning, 
2, 248, 1, 1, 42.4512491688417, Lightning, 
2, 264, 1, 1, 25.6235253484815, Lightning, 
2, 278, 1, 1, 21.6284768849274, Accidental, 
2, 286, 1, 1, 45.0320234048329, Lightning, 
2, 288, 1, 1, 36.1724762975208, Lightning, 
2, 289, 1, 1, 25.6971545380862, Accidental, 
2, 302, 1, 1, 22.0570804680496, Accidental, 
2, 302, 1, 1, 22.0570804680496, Lightning, 
2, 308, 1, 1, 11.2389178446886, Lightning, 
2, 316, 1, 1, 18.114570015264, Accidental, 
2, 337, 1, 1, 6.13080917914824, Lightning, 
2, 358, 1, 1, 3.31354142785219, Accidental, 
2, 361, 1, 1, 0, Lightning, 
3, 25, 1, 1, 7.08327992509122, Lightning, 
3, 29, 1, 1, 7.03904879798399, Lightning, 
3, 33, 1, 1, 9.04441076760939, Accidental, 
3, 60, 1, 1, 2.76941932335137, Accidental, 
3, 70, 1, 1, 3.51737515135215, Lightning, 
3, 76, 1, 1, 3.91827566010254, Lightning, 
3, 78, 1, 1, 5.60850487676727, Lightning, 
3, 136, 1, 1, 13.055976810438, Lightning, 
3, 141, 1, 1, 25.8059580457769, Accidental, 
3, 152, 1, 1, 29.3494069643551, Lightning, 
3, 153, 1, 1, 28.2337600871542, Lightning, 
3, 157, 1, 1, 21.3861459806395, Lightning, 
3, 176, 1, 1, 25.8187793847815, Lightning, 
3, 185, 1, 1, 26.5692189809717, Lightning, 
3, 192, 1, 1, 29.5569633716467, Lightning, 
3, 196, 1, 1, 42.2222909929847, Lightning, 
3, 205, 1, 1, 23.0446121459883, Lightning, 
3, 206, 1, 1, 22.0431845283363, Accidental, 
3, 221, 1, 1, 28.2743149960185, Accidental, 
3, 227, 1, 1, 33.2390672545555, Lightning, 
3, 229, 1, 1, 29.433673057304, Lightning, 
3, 244, 1, 1, 22.7236322381691, Lightning, 
3, 249, 1, 1, 25.4254782859542, Lightning, 
3, 252, 1, 1, 20.7635718912057, Accidental, 
3, 264, 1, 1, 39.918723828916, Lightning, 
3, 273, 1, 1, 18.0373626863559, Lightning, 
3, 282, 1, 1, 32.2504289889354, Lightning, 
3, 283, 1, 1, 27.030511616423, Lightning, 
3, 284, 1, 1, 35.1784393833163, Lightning, 
3, 288, 1, 1, 39.9481227187078, Lightning, 
3, 293, 1, 1, 18.4657228843795, Lightning, 
3, 296, 1, 1, 15.1972052304348, Lightning, 
3, 299, 1, 1, 14.8931766281483, Lightning, 
3, 329, 1, 1, 33.6767683928409, Lightning, 
3, 343, 1, 1, 6.47453201946755, Accidental, 
3, 362, 1, 1, 0, Lightning, 
4, 1, 1, 1, 0, Accidental, 
4, 15, 1, 1, 8.67180023552751, Lightning, 
4, 23, 1, 1, 3.32618098028986, Lightning, 
4, 24, 1, 1, 5.06986963005554, Lightning, 
4, 31, 1, 1, 7.05049046956908, Lightning, 
4, 72, 1, 1, 4.58953286208068, Lightning, 
4, 108, 1, 1, 9.12975519417643, Accidental, 
4, 117, 1, 1, 13.9589894423449, Lightning, 
4, 132, 1, 1, 11.0639686894723, Accidental, 
4, 154, 1, 1, 30.4255310937309, Accidental, 
4, 171, 1, 1, 31.4838740001818, Lightning, 
4, 173, 1, 1, 30.8231258429146, Accidental, 
4, 173, 1, 1, 30.8231258429146, Lightning, 
4, 175, 1, 1, 38.8508658064906, Lightning, 
4, 183, 1, 1, 22.8889740009239, Accidental, 
4, 188, 1, 1, 35.1661601317352, Lightning, 
4, 194, 1, 1, 29.2076894377437, Lightning, 
4, 197, 1, 1, 32.8031273245188, Accidental, 
4, 203, 1, 1, 37.5952201178592, Lightning, 
4, 207, 1, 1, 31.6315862496442, Lightning, 
4, 208, 1, 1, 32.6998851193192, Lightning, 
4, 210, 1, 1, 29.776138340273, Lightning, 
4, 216, 1, 1, 27.5052560308652, Accidental, 
4, 226, 1, 1, 28.1868100984956, Lightning, 
4, 228, 1, 1, 35.9029102035969, Accidental, 
4, 246, 1, 1, 34.9751462324474, Accidental, 
4, 248, 1, 1, 30.4688425058353, Lightning, 
4, 249, 1, 1, 27.569349772495, Lightning, 
4, 255, 1, 1, 23.8704879793385, Accidental, 
4, 261, 1, 1, 19.6853834242688, Lightning, 
4, 262, 1, 1, 34.8638434851375, Lightning, 
4, 269, 1, 1, 29.8276025521444, Lightning, 
4, 293, 1, 1, 25.2985758260471, Accidental, 
4, 309, 1, 1, 17.3233812112369, Lightning, 
4, 327, 1, 1, 14.147252661872, Accidental, 
4, 348, 1, 1, 27.3694894479344, Accidental, 
5, 2, 1, 1, 0, Lightning, 
5, 16, 1, 1, 8.93472464694601, Accidental, 
5, 20, 1, 1, 3.66442511371417, Lightning, 
5, 27, 1, 1, 6.50619202097602, Lightning, 
5, 38, 1, 1, 6.77349670801711, Lightning, 
5, 63, 1, 1, 4.20748490577372, Lightning, 
5, 83, 1, 1, 4.45527851668477, Accidental, 
5, 89, 1, 1, 4.96543819304856, Accidental, 
