Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, eco9, 1, 160.75, 14.59, 0, 309, 0, 
1980, eco9, 1, 150.69, 14.86, 0, 317, 0, 
1981, eco9, 1, 220.82, 15.35, 0, 365, 0, 
1982, eco9, 1, 193.63, 13.57, 0, 304, 0, 
1983, eco9, 1, 331.27, 14.01, 0, 312, 0, 
1984, eco9, 1, 117.4, 14.6, 21, 290, 0, 
1985, eco9, 1, 82.47, 14.68, 0, 298, 0, 
1986, eco9, 1, 168.03, 15.36, 0, 333, 0, 
1987, eco9, 1, 145.27, 15.36, 0, 310, 0, 
1988, eco9, 1, 129.91, 15.31, 0, 308, 0, 
1979, eco10, 2, 150.11, 15.53, 0, 303, 0, 
1980, eco10, 2, 133.56, 15.76, 0, 313, 0, 
1981, eco10, 2, 199.45, 16.24, 0, 350, 0, 
1982, eco10, 2, 170.88, 14.48, 46, 297, 0, 
1983, eco10, 2, 297.26, 15.08, 0, 305, 0, 
1984, eco10, 2, 104.76, 15.65, 39, 286, 0, 
1985, eco10, 2, 77.42, 15.49, 0, 293, 0, 
1986, eco10, 2, 152.33, 16.13, 16, 316, 0, 
1987, eco10, 2, 128.64, 16.23, 40, 305, 0, 
1988, eco10, 2, 115.28, 16.24, 31, 301, 0, 
1979, eco11, 3, 140.38, 16.54, 0, 309, 0, 
1980, eco11, 3, 117.56, 16.66, 0, 312, 0, 
1981, eco11, 3, 176.65, 17.32, 0, 365, 0, 
1982, eco11, 3, 149.95, 15.65, 0, 309, 0, 
1983, eco11, 3, 260.22, 16.39, 0, 365, 0, 
1984, eco11, 3, 91.53, 16.95, 0, 329, 0, 
1985, eco11, 3, 73.39, 16.67, 0, 303, 0, 
1986, eco11, 3, 134.8, 17.33, 0, 365, 0, 
1987, eco11, 3, 111.66, 17.59, 0, 318, 0, 
1988, eco11, 3, 98.86, 17.77, 0, 333, 0, 
1979, eco18, 4, 148.67, 16.8, 0, 318, 0, 
1980, eco18, 4, 131.84, 16.91, 0, 365, 0, 
1981, eco18, 4, 187.14, 17.51, 0, 365, 0, 
1982, eco18, 4, 163.15, 15.8, 0, 317, 0, 
1983, eco18, 4, 283.01, 16.35, 0, 365, 0, 
1984, eco18, 4, 98.21, 16.94, 0, 342, 0, 
1985, eco18, 4, 77.3, 17.06, 0, 305, 0, 
1986, eco18, 4, 146.56, 17.65, 0, 365, 0, 
1987, eco18, 4, 122.51, 17.65, 0, 365, 0, 
1988, eco18, 4, 106.54, 17.77, 0, 349, 0, 
1979, eco21, 5, 104.33, 11.76, 64, 292, 0, 
1980, eco21, 5, 75.1, 12.01, 85, 272, 0, 
1981, eco21, 5, 118.77, 12.61, 53, 274, 0, 
1982, eco21, 5, 108.81, 10.64, 112, 291, 0, 
1983, eco21, 5, 173.62, 11.46, 25, 295, 0, 
1984, eco21, 5, 78.72, 11.68, 61, 278, 0, 
1985, eco21, 5, 51.58, 11.89, 88, 275, 0, 
1986, eco21, 5, 95.59, 12.68, 29, 298, 0, 
1987, eco21, 5, 74.72, 12.59, 79, 300, 0, 
1988, eco21, 5, 75.21, 12.48, 83, 296, 0, 
1979, eco22, 6, 115.08, 11.02, 94, 290, 0, 
1980, eco22, 6, 83.39, 11.43, 92, 284, 0, 
1981, eco22, 6, 136.03, 11.92, 80, 264, 0, 
1982, eco22, 6, 122.75, 10.07, 115, 280, 0, 
1983, eco22, 6, 195.73, 10.64, 107, 291, 0, 
1984, eco22, 6, 86.19, 10.82, 92, 262, 0, 
1985, eco22, 6, 56.77, 10.96, 94, 268, 0, 
1986, eco22, 6, 105.84, 11.74, 44, 251, 0, 
1987, eco22, 6, 83.01, 11.77, 90, 291, 0, 
1988, eco22, 6, 84.31, 11.76, 91, 291, 0, 
1979, eco23, 7, 137.37, 12.46, 70, 291, 0, 
1980, eco23, 7, 109.75, 12.86, 87, 295, 0, 
1981, eco23, 7, 177.82, 13.3, 74, 271, 0, 
1982, eco23, 7, 160.26, 11.45, 109, 291, 0, 
1983, eco23, 7, 255.32, 12.03, 44, 292, 0, 
1984, eco23, 7, 98.22, 12.43, 70, 268, 0, 
1985, eco23, 7, 70.9, 12.49, 89, 283, 0, 
1986, eco23, 7, 135.09, 13.27, 38, 257, 0, 
1987, eco23, 7, 111.44, 13.29, 82, 293, 0, 
1988, eco23, 7, 103.32, 13.33, 84, 291, 0, 
1979, eco24, 8, 189.38, 13.31, 65, 291, 0, 
1980, eco24, 8, 176.22, 13.56, 82, 298, 0, 
1981, eco24, 8, 250.75, 14.07, 63, 276, 0, 
1982, eco24, 8, 216.88, 12.24, 99, 291, 0, 
1983, eco24, 8, 374.98, 12.82, 45, 294, 0, 
1984, eco24, 8, 134.39, 13.22, 64, 273, 0, 
1985, eco24, 8, 95.18, 13.5, 84, 291, 0, 
1986, eco24, 8, 193.01, 14.12, 39, 296, 0, 
1987, eco24, 8, 162.33, 14, 75, 295, 0, 
1988, eco24, 8, 148.51, 14.04, 75, 291, 0, 
1979, eco25, 9, 180.9, 14.89, 0, 302, 0, 
1980, eco25, 9, 169.09, 15.11, 0, 311, 0, 
1981, eco25, 9, 230.72, 15.64, 0, 365, 0, 
1982, eco25, 9, 200.8, 13.86, 34, 297, 0, 
1983, eco25, 9, 351.55, 14.43, 0, 304, 0, 
1984, eco25, 9, 120.84, 14.89, 41, 310, 0, 
1985, eco25, 9, 91.75, 15.02, 0, 291, 0, 
1986, eco25, 9, 181.02, 15.75, 0, 316, 0, 
1987, eco25, 9, 152.08, 15.71, 45, 307, 0, 
1988, eco25, 9, 134, 15.78, 27, 301, 0, 
1979, eco32, 10, 196.66, 15.22, 0, 313, 0, 
1980, eco32, 10, 174.23, 15.39, 0, 365, 0, 
1981, eco32, 10, 244.12, 15.92, 0, 365, 0, 
1982, eco32, 10, 212.23, 14.14, 0, 310, 0, 
1983, eco32, 10, 353.96, 14.73, 0, 365, 0, 
1984, eco32, 10, 131.61, 15.15, 0, 324, 0, 
1985, eco32, 10, 97.58, 15.24, 0, 298, 0, 
1986, eco32, 10, 201.62, 15.97, 0, 343, 0, 
1987, eco32, 10, 161.41, 15.92, 0, 317, 0, 
1988, eco32, 10, 137.66, 16, 0, 316, 0, 
1979, eco33, 11, 108.71, 12.02, 55, 300, 0, 
1980, eco33, 11, 87.81, 12.18, 79, 300, 0, 
1981, eco33, 11, 129.66, 12.63, 0, 286, 0, 
1982, eco33, 11, 126.23, 11.06, 106, 293, 0, 
1983, eco33, 11, 191.61, 11.67, 0, 307, 0, 
1984, eco33, 11, 92.77, 11.74, 53, 280, 0, 
1985, eco33, 11, 55.52, 11.94, 85, 281, 0, 
1986, eco33, 11, 108.44, 12.82, 0, 300, 0, 
1987, eco33, 11, 93.67, 12.68, 65, 303, 0, 
1988, eco33, 11, 79.83, 12.51, 81, 309, 0, 
1979, eco34, 12, 105.33, 12.27, 57, 295, 0, 
1980, eco34, 12, 78.29, 12.48, 81, 277, 0, 
1981, eco34, 12, 122.37, 13.1, 0, 275, 0, 
1982, eco34, 12, 111.72, 11.23, 111, 291, 0, 
1983, eco34, 12, 175.5, 12.03, 0, 302, 0, 
1984, eco34, 12, 78.97, 12.14, 57, 274, 0, 
1985, eco34, 12, 52.53, 12.37, 86, 279, 0, 
1986, eco34, 12, 98.34, 13.16, 22, 300, 0, 
1987, eco34, 12, 78.85, 13.1, 72, 303, 0, 
1988, eco34, 12, 74.77, 12.96, 83, 302, 0, 
1979, eco35, 13, 118.49, 11.45, 110, 291, 0, 
1980, eco35, 13, 88.76, 11.75, 103, 265, 0, 
1981, eco35, 13, 138.77, 12.32, 91, 270, 0, 
1982, eco35, 13, 128.11, 10.46, 119, 259, 0, 
1983, eco35, 13, 197.57, 11.27, 113, 291, 0, 
1984, eco35, 13, 90.75, 11.4, 111, 270, 0, 
1985, eco35, 13, 58.92, 11.6, 98, 269, 0, 
1986, eco35, 13, 112.21, 12.43, 110, 284, 0, 
1987, eco35, 13, 88.77, 12.36, 98, 291, 0, 
1988, eco35, 13, 84.14, 12.25, 98, 291, 0, 
1979, eco36, 14, 105.68, 11.04, 110, 291, 0, 
