Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 6094.5, 20365, 0, 3, 569.3, 
1, -168.2, 5984.4, 20704.3, 228.7, 3.21, 642.5, 
2, -152.8, 5886.1, 21062.9, 211.6, 3.95, 677, 
3, -204.5, 5779.3, 21482.1, 263.4, 4.02, 709, 
4, -138.4, 5699.5, 21782.6, 196.6, 4.19, 732.6, 
5, -151.9, 5623.1, 22088.8, 207.6, 3.98, 753.7, 
6, -185, 5548.3, 22440.6, 243.8, 4.29, 773.4, 
7, -180.8, 5491.7, 22740.9, 231.2, 4.89, 790.8, 
8, -284.4, 5419.4, 23217.1, 335.2, 4.73, 810.5, 
9, -152.1, 5381.6, 23436.5, 195.1, 4.97, 824.9, 
10, -207, 5338.8, 23772.7, 257.9, 5.03, 838.3, 
