Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, AbieAmab, eco9, 7, 0.32, 1, 0, 0, 147, 0, 309, 
1, AbieAmab, eco10, 156, 0, 1, 0.09, 0, 141.04, 0, 303, 
1, AbieAmab, eco11, 36, 0, 1, 0.02, 0, 161.03, 0, 309, 
1, AbieAmab, eco18, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, AbieAmab, eco21, 330, 0.9, 1, 0, 0, 162.76, 64, 292, 
1, AbieAmab, eco22, 1490, 0.96, 1, 0, 0, 149.2, 94, 290, 
1, AbieAmab, eco23, 1607, 0.8, 1, 0.01, 0, 144.74, 70, 291, 
1, AbieAmab, eco24, 1888, 0.65, 1, 0.01, 0.01, 134.5, 65, 291, 
1, AbieAmab, eco25, 907, 0.22, 1, 0.02, 0, 139.28, 0, 302, 
1, AbieAmab, eco32, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, AbieAmab, eco33, 2, 0.86, 1, 0, 0, 154, 55, 300, 
1, AbieAmab, eco34, 91, 0.83, 1, 0.01, 0, 150.73, 57, 295, 
1, AbieAmab, eco35, 1326, 0.91, 1, 0, 0, 144.89, 110, 291, 
1, AbieAmab, eco36, 2703, 0.95, 1, 0, 0, 152.07, 110, 291, 
1, AbieAmab, eco37, 2933, 0.9, 1, 0, 0, 153.51, 67, 291, 
1, AbieAmab, eco38, 2805, 0.84, 1, 0.01, 0.01, 137.92, 66, 292, 
1, AbieAmab, eco39, 1544, 0.46, 1, 0, 0, 134.79, 56, 298, 
1, AbieAmab, eco40, 5, 0.24, 1, 0, 0, 136, 0, 306, 
1, AbieAmab, eco46, 106, 0.76, 1, 0, 0, 137, 48, 301, 
1, AbieAmab, eco47, 1658, 0.82, 1, 0, 0, 141.96, 76, 295, 
1, AbieAmab, eco48, 2331, 0.89, 1, 0.03, 0.02, 126, 83, 291, 
1, AbieAmab, eco49, 2034, 0.96, 1, 0, 0, 130.24, 119, 291, 
1, AbieAmab, eco50, 2364, 0.97, 1, 0, 0, 140.5, 118, 291, 
1, AbieAmab, eco51, 2511, 0.92, 1, 0, 0, 150.99, 77, 291, 
1, AbieAmab, eco52, 2664, 0.86, 1, 0, 0, 139, 62, 291, 
1, AbieAmab, eco53, 2137, 0.61, 1, 0, 0, 131.7, 67, 292, 
1, AbieAmab, eco54, 1, 0.45, 1, 0, 0, 136, 0, 304, 
1, AbieAmab, eco60, 2320, 0.74, 1, 0.01, 0.01, 137.12, 51, 298, 
1, AbieAmab, eco61, 3281, 0.85, 1, 0, 0, 124.6, 109, 291, 
1, AbieAmab, eco62, 2213, 0.98, 1, 0, 0, 94.56, 116, 291, 
1, AbieAmab, eco63, 1001, 1, 1, 0.05, 0.03, 100.14, 126, 291, 
1, AbieAmab, eco64, 914, 0.99, 1, 0.29, 0.17, 70.67, 130, 278, 
1, AbieAmab, eco65, 1741, 0.97, 1, 0.05, 0.03, 123.21, 125, 282, 
1, AbieAmab, eco66, 1983, 0.91, 1, 0, 0, 137.71, 111, 291, 
1, AbieAmab, eco67, 1299, 0.87, 1, 0, 0, 133, 115, 291, 
1, AbieAmab, eco68, 1429, 0.84, 1, 0, 0, 128.35, 112, 291, 
