SpeciesCode,AgeDBH,MaximumBarkThickness
AbieAmab,50,1.4
AbieGran,50,2.6
AbieMagn,100,3.7
AcerMacr,40,1.2
AlnuRhom,40,1
AlnuRubr,40,1
ArbuMenz,60,4.3
CaloDecu,80,5.1
ChryChry,40,1
ChamNoot,40,1
LithDens,40,1
PinuAlbi,100,1.3
PinuAtte,50,1.1
PiceBrew,120,1
PinuCont,80,1.6
PinuJeff,80,5.4
PinuLamb,100,7
PinuMont,120,2.8
PinuPond,80,4.4
PiceSitc,50,2.4
PseuMenz,80,5.9
QuerChry,50,2
QuerDoug,50,1.5
QuerGarr,50,1.3
QuerKell,50,1.6
SequSemp,100,17.2
TaxuBrev,80,0.7
TsugMert,120,2.2
