Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3932.6, 1698, 0, 5.5, 336.6, 
1, 424.7, 3437.3, 2119, 207.7, 3.02, 341.7, 
2, -194.8, 3235.7, 2695, 318.2, 6.4, 355.5, 
3, -288.3, 3148.9, 3158, 297.1, 10.06, 377.4, 
4, -297.2, 3086.9, 3569, 304.2, 13.4, 411.9, 
5, -312.1, 3050.9, 3932, 315.2, 15.69, 463, 
6, -247.3, 3028.6, 4202, 277.2, 17.69, 512.2, 
7, -290.8, 3007.6, 4538, 335.2, 19.53, 568, 
8, -357.3, 3004, 4937, 390, 20.08, 626.4, 
9, -245.1, 3007.2, 5197, 300, 20.74, 664.4, 
10, -319.9, 3018.7, 5581, 389.2, 20.5, 714.7, 
11, -313.1, 3033, 5927, 389.5, 20.24, 764.4, 
12, -317.5, 3052.5, 6281, 393.7, 19.46, 812.9, 
13, -277.6, 3086.5, 6564, 362.7, 18.73, 856.1, 
14, -444.5, 3123.3, 7025, 499.1, 16.06, 930.7, 
15, -374.7, 3162.9, 7414, 464.5, 14, 989.1, 
16, -307.9, 3209.2, 7723, 409.9, 12.19, 1029.5, 
17, -402.7, 3266.5, 8155, 493.1, 8.99, 1077.2, 
18, -349.6, 3319.9, 8526, 463.4, 6.24, 1114.2, 
19, -381.5, 3375.1, 9002, 525.2, 2.97, 1147.6, 
20, -278.9, 3429.6, 9548, 431.6, 1.42, 1161.7, 
21, -281.4, 3478.3, 9817, 401.1, 1.08, 1192.1, 
22, -373.9, 3535.9, 10241, 502, 0.66, 1230.5, 
23, -310.5, 3588, 10609, 477.6, 0.7, 1262.4, 
24, -325.4, 3642.7, 10958, 455.5, 0.56, 1296.3, 
25, -297, 3701.6, 11266, 431, 0.31, 1318.4, 
26, -298.9, 3753.8, 11638, 479.9, 0.51, 1349.5, 
27, -307.5, 3808.6, 12029, 502, 0.61, 1373.8, 
28, -282.5, 3859.8, 12350, 450, 0.42, 1389.8, 
29, -294.8, 3903, 12748, 496.9, 0.55, 1411.3, 
30, -248.2, 3946.8, 13068, 444, 0.35, 1422.3, 
31, -246, 3992.2, 13398, 452.1, 0.53, 1437, 
32, -203.9, 4037.6, 13637, 397.7, 0.59, 1440.7, 
33, -226.6, 4075.3, 13996, 457.4, 0.51, 1449.8, 
34, -274.3, 4113.6, 14334, 455.8, 0.56, 1466, 
